timestamp,method,reason,site,parameter,regime
2025-10-27 15:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-27 15:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-27 16:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-27 17:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-27 17:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-27 17:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 11:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 11:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 11:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 13:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 13:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 13:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 14:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 14:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 15:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 16:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 16:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 16:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 18:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 18:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-28 18:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 11:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 11:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 11:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 13:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 13:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 13:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 14:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 14:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 15:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 15:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 16:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 16:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 16:45:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 18:00:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 18:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-29 18:30:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
2025-10-30 11:15:00,linear,short_gap_within_threshold,Kamand,velocity,Kamand_velocity
